query_index,requested_qpos_m,basket_offset_x_m,basket_offset_y_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,qvel_norm_m_s,oracle_contact,oracle_penetration,min_separation_m
934,0.0675,0.18,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.025854788720607758
935,0.0675,0.2,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.025853551924228668
936,0.0675,0.22000000000000003,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
937,0.0675,0.24000000000000005,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
938,0.0675,0.26000000000000006,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
939,0.0675,0.2800000000000001,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
940,0.0675,0.3,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
941,0.0675,0.32,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.015421509742736816
942,0.0675,0.34,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,0.004426747560501099
943,0.0675,0.36000000000000004,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
944,0.0675,0.38000000000000006,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
945,0.0675,0.4000000000000001,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
946,0.0675,0.42,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
947,0.0675,-0.42,0.09999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
948,0.0675,-0.39999999999999997,0.09999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
949,0.0675,-0.38,0.09999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
950,0.0675,-0.36,0.09999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
951,0.0675,-0.33999999999999997,0.09999999999999998,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,0.006578236818313599
